NAME,Total Enrollment,Total Revenue
ATCHISON COUNTY UNIFIED SCHOOL DISTRICT 377,505,7584
ATHENA WESTON SCH DIST 29J,584,8294
ATHENS AREA SCH DIST,552,6635
ATHENS AREA SCH DIST,2039,40274
ATHENS CITY SCH DIST,1732,17890
ATHENS CITY SCH DIST,2571,41818
ATHENS CITY SCHOOL DISTRICT,4284,58199
ATHENS COMMUNITY UNIT SCHOOL DISTRICT 213,1111,14493
ATHENS IND SCH DIST 901,3011,37318
ATHENS PUBLIC SCHOOLS,150,2554
ATHENS SCHOOL DISTRICT,415,6741
ATHENS/GRAFTON CONTRACT SCHOOL DISTRICT,66,3460
ATHERTON COMM SCH DIST,852,10171
ATHOL ROYALSTON REG SCH,1453,32112
ATKINS SCH DIST,992,10806
ATKINSON CO SCH DIST,1693,20384
ATLANTA COMM SCHS,239,3388
ATLANTA CONS SCH DIST C-3,207,2339
ATLANTA IND SCH DIST 901,1725,20870
ATLANTA PUBLIC SCHOOLS,52377,1144904
ATLANTIC CITY SCH DISTRICT,6984,187803
ATLANTIC COMMUNITY SCHOOL DISTRICT,1480,21218
ATLANTIC COUNTY VOCATIONAL SCHOOL,1604,36984
ATLANTIC HIGHLANDS SCHOOL DIST,311,6946
ATOKA SCH DIST 15,890,13792
ATTALA CO SCHOOL DISTRICT,1027,12341
ATTALLA CITY SCHOOL DISTRICT,1526,16442
ATTICA CENTRAL SCH DIST,1239,29146
ATTICA CONSOLIDATED SCHOOL CORPORATION,671,8811
ATTICA UNIFIED SCHOOL DISTRICT 511,176,2610
ATTLEBORO CITY SCHS,5946,95568
ATWATER ELEM SCH DIST,5125,69999
ATWOOD HEIGHTS SCHOOL DISTRICT 125,620,12465
AU GRES-SIMS SCH DIST,399,5209
AUBREY IND SCH DISTRICT 907,2442,30138
AUBURN CITY SCH DIST,4310,84482
AUBURN CITY SCHOOL DISTRICT,8738,118080
AUBURN COMMUNITY UNIT SCHOOL DISTRICT 10,1319,16382
AUBURN SCH DIST 29,937,11331
AUBURN SCHOOL DEPARTMENT,3584,50334
AUBURN SCHOOL DISTRICT 408,17505,300316
AUBURN TOWN SCH,2628,45569
AUBURN TOWN SCH DIST,626,13648
AUBURN UNION ELEM SCH DIST,1873,26742
AUBURNDALE JOINT SCHOOL DISTRICT 1,818,12045
AUBURN-WASHBURN UNIFIED SCHOOL DISTRICT 437,6318,72388
AUCHARD CREEK ELEM DIST 27,11,152
AUDUBON BORO SCH DIST,1521,30389
AUDUBON COMMUNITY SCHOOL DISTRICT,544,7851
AUGUSTA CITY SCHOOLS,2242,34981
AUGUSTA CO SCH DIST,10406,129638
AUGUSTA ELEM SCH DIST 45,65,914
AUGUSTA HIGH SCH DIST 45,30,934
AUGUSTA INDEP SCH DIST,289,4160
AUGUSTA JOINT SCHOOL DISTRICT 1,624,10489
AUGUSTA SCH DIST 10,394,5487
AUGUSTA UNIFIED SCHOOL DISTRICT 402,2196,26274
AULT-HIGHLANDS SCH DIST RE-9,935,12242
AURORA CITY SCH DIST,2987,44690
AURORA EAST SCHOOL DISTRICT 131,13805,221761
AURORA SCH DIST R-8,1898,20565
AURORA SCHOOL DISTRICT 504,1287,17068
AURORA WEST UNIT SCHOOL DISTRICT 129,12029,202662
AUSABLE VALLEY CENTRAL SCHOOL DIST,1159,33865
AUSTIN AREA SCHOOL DIST,194,4479
AUSTIN IND SCH DIST 492,5293,76762
AUSTIN IND SCH DIST 901,80032,1709746
AUSTINTOWN SCH DIST,4460,55871
