NAME,Total Enrollment,Total Revenue
MONROE ELEM SCH DIST,166,2608
MONROE LOCAL SCHOOL DISTRICT,2812,33251
MONROE PUBLIC SCHOOLS,5232,61016
MONROE SCH DIST 11,99,1406
MONROE SCHOOL DISTRICT 1 J,375,11744
MONROE SCHOOL DISTRICT 103,6860,115433
MONROE SCHOOL DISTRICT 70,315,3871
MONROE TOWN SCH DIST,79,3402
MONROE TOWN SCHOOLS,3105,72781
MONROE TWP SCH DIST,5846,112082
MONROE TWP SCH DIST,6829,143938
MONROE-GREGG SCHOOL DISTRICT,1522,18031
MONROEVILLE LOCAL SCH DIST,610,9596
MONROE-WOODBURY CTL SCH DIST,6870,184747
MONROVIA UNIF SCH DIST,5442,86120
MONSON SULTANA JT UNION ELEM SCHOOL DIST,459,6665
MONSON TOWN SCH,917,19370
MONT VERNON SCHOOL DISTRICT,190,5048
MONTABELLA COMM SCH DIST,765,10344
MONTACHUSETT VOC TECH,1422,34672
MONTAGUE AREA PUBLIC SCHOOLS,1514,20173
MONTAGUE ELEM SCH DIST,163,2385
MONTAGUE IND SCH DIST 908,166,2018
MONTAGUE TWP SCH DIST,253,10483
MONTANA CITY ELEM DIST 27,469,5150
MONTAUK UNION FREE SCH DIST 6,318,18264
MONTCLAIR PUBLIC SCHOOLS,6767,157688
MONTE ALTO IND SCH DIST 915,947,15161
MONTE RIO UNION ELEM SCH DIST,84,1838
MONTE VISTA SCH DIST C-8,1157,12663
MONTEBELLO UNIFIED SCHOOL DISTRICT,25409,422079
MONTECITO ELEM SCH DIST,394,15628
MONTELLO SCHOOL DISTRICT,668,11924
MONTEREY PENINSULA UNIF SCH DIST,10111,157733
MONTESANO SCHOOL DISTRICT 66,1439,19813
MONTEVIDEO SCH DIST 129,1409,22463
MONTEZUMA COMMUNITY SCHOOL DISTRICT,515,8167
MONTEZUMA UNIFIED SCHOOL DISTRICT 371,226,4238
MONTEZUMA-CORTEZ SCH DIST RE-1,2778,33415
MONTGOMERY AREA SCH DIST,917,16511
MONTGOMERY CO SCH DIST,892,11706
MONTGOMERY CO SCH DIST,4680,55266
MONTGOMERY CO SCH DIST,35366,353017
MONTGOMERY CO SCH DIST R2,1207,14254
MONTGOMERY CO SCHS,9924,115731
MONTGOMERY COUNTY SCH,3955,43651
MONTGOMERY COUNTY SCHOOL DISTRICT,28890,303349
MONTGOMERY COUNTY SCHOOLS,162680,3336163
MONTGOMERY ELEM SCH DIST,33,809
MONTGOMERY IND SCH DIST 903,8857,107403
MONTGOMERY TOWN SCH DIST,148,2590
MONTGOMERY TWP SCH DIST,4713,106934
MONTICELLO COMMUNITY SCHOOL DISTRICT,1055,14646
MONTICELLO COMMUNITY UNIT SCHOOL DISTRICT 25,1644,25740
MONTICELLO CTL SCH,3034,93675
MONTICELLO SCH DIST 18,1948,22031
MONTICELLO SCH DIST 882,4125,65410
MONTICELLO VILLAGE SCHOOL DISTRICT,341,6088
MONTMORENCY SCHOOL DISTRICT 145,228,3980
MONTOUR SCHOOL DISTRICT,2884,74476
MONTOURSVILLE AREA SCHOOL DIST,1941,31013
MONTPELIER EX VLG SCH DIST,902,14129
MONTPELIER SCH DIST 14,109,2110
MONTPELIER-ROXBURY UNIFIED UNION SCHOOL DISTRICT,1268,25415
MONTROSE AREA SCH DIST,1301,27758
MONTROSE CO SCHOOL DIST RE-1J,6154,70415
MONTROSE COMM SCH DIST,1466,18693
MONTROSE SCH DIST R 14,103,1499
MONTROSE SCHOOL DISTRICT 43-2,242,3274
MONTVALE BORO SCHOOL DIST,980,21279
MONTVILLE TOWN SCHOOLS,2059,48408
MONTVILLE TWP SCH DIST,3645,92397
MONUMENT SCH DIST 8,50,2688
MOODY IND SCH DIST 910,696,9604
MOON AREA SCH DIST,3851,80915
MOONACHIE BORO SCH DIST,317,10674
MOORE CO SCH,12866,124438
MOORE ELEM SCH DIST 44,50,1049
MOORE H S DIST 44,24,825
MOORE SCHOOL DISTRICT I-002,24638,232579
MOORELAND SCH DIST I-2,528,6762
MOORESTOWN TWP SCH DIST,3997,92445
MOORESVILLE CITY SCHOOLS,6059,62479
MOORESVILLE CONSOLIDATED SCHOOL CORPORATION,4436,50143
MOORHEAD SCH DIST 152,7027,100722
MOORPARK UNIFIED SCH DIST,6177,78343
MOOSABEC COMMUNITY SCHOOL DISTRICT 17 (917),77,1620
MOOSE LAKE SCH DIST 97,655,10847
MORA IND SCH DIST 332,1643,22157
MORA IND SCHOOL DISTRICT,399,7877
MORAGA SCHOOL DISTRICT,1851,27109
MORAN IND SCH DIST 902,111,1997
MORAN TOWNSHIP SCHOOL DISTRICT,86,1913
MORAVIA CENTRAL SCH,997,22943
MORAVIA COMMUNITY SCHOOL DISTRICT,392,5762
MOREHOUSE PARISH SCHOOL DISTRICT,3758,49274
MORELAND SCHOOL DISTRICT,4703,74211
MORENCI AREA SCHOOLS,650,8284
MORENI SCHOOL DISTRICT 18,1536,14835
MORENO VALLEY UNIFIED SCH DIST,32763,498171
MORGAN CO SCH DIST,1964,27927
MORGAN CO SCH DIST,3208,30651
MORGAN CO SCH DIST,2329,31980
MORGAN CO SCH DIST,3081,43786
MORGAN CO SCH DIST R-2,1366,16701
MORGAN CO SCH SYSTEM,2898,31012
MORGAN COUNTY SCHOOL DIST R 1,760,9287
MORGAN COUNTY SCHOOL DISTRICT,7574,86543
MORGAN HILL UNIFIED SCH DIST,8294,131506
MORGAN IND SCH DIST 903,129,2004
MORGAN LOCAL SCH DIST,1761,27094
MORGAN MILL IND SCH DIST 910,123,1442
MORIAH CENTRAL SCH DIST,721,18300
MORIARTY SCHOOL DISTRICT 8,2417,29058
MORIN ELEM DIST 17,51,1077
MORLEY STANWOOD COMM SCH DIST,1163,14242
MORMON TRAIL COMMUNITY SCHOOL DISTRICT,234,4368
MORNING SUN COMMUNITY SCHOOL DISTRICT,124,3288
MORONGO UNIFIED SCH DIST,8616,121808
MORRICE AREA SCHOOLS,511,6435
MORRILL PUBLIC SCHOOL DISTRICT,407,6814
MORRIS AREA PUBLIC SCHOOLS,1045,16285
MORRIS CENTRAL SCH DIST,346,11416
MORRIS COMMUNITY HIGH SCHOOL DISTRICT 101,868,15401
MORRIS COUNTY SCHOOL DISTRICT 417,812,10933
MORRIS COUNTY VOCATIONAL SCHOOL DISTRICT,1002,25681
MORRIS HILLS REGIONAL DIST,2811,86197
MORRIS PLAINS SCH DIST,578,20475
MORRIS SCH DIST,5216,131030
MORRIS SCH DIST 3,1001,9345
MORRIS SCHOOL DISTRICT 54,1159,14861
MORRISON COMMUNITY UNIT SCHOOL DISTRICT 6,1008,15350
MORRISON SCH DIST 6,597,6739
MORRISONVILLE COMMUNITY UNIT SCHOOL DISTRICT 1,311,4897
MORRISTOWN CENTRAL SCH,339,9992
MORRISTOWN SCHOOL DISTRICT 75,111,2394
MORRISVILLE BORO SCH DIST,848,22826
MORRISVILLE EATON CENTRAL SCHOOL DIST,665,17677
MORROW CO SCH DIST 1,2344,33949
MORTON COMMUNITY UNIT SCHOOL DISTRICT 709,3059,47572
MORTON GROVE SCHOOL DISTRICT 70,938,15501
MORTON IND SCH DIST 901,394,5332
MORTON SCHOOL DISTRICT 214,336,5436
MOSCOW SCHOOL DISTRICT 281,2552,29029
MOSCOW UNIFIED SCHOOL DISTRICT 209,170,3318
MOSELEY SCH DIST 34,174,1911
MOSES LAKE SCHOOL DISTRICT 161,8816,133196
MOSHANNON VALLEY SCH DIST,862,15826
MOSINEE SCHOOL DISTRICT,2016,28325
MOSQUERO SCHOOL DISTRICT,36,2782
MOSS POINT MUN SEP SCH DIST,1810,26396
MOSS SCH DIST 1,273,3550
MOSSYROCK SCHOOL DISTRICT 206,514,8927
MOTHER LODE UNION ELEM SCH DT,1030,16717
MOTLEY CO IND SCH DIST 901,162,2857
MOTT-REGENT SCH DIST 1,213,4642
MOULTON IND SCH DIST 902,279,3876
MOULTONBOROUGH SCH DIST,484,14622
MOULTON-UDELL COMMUNITY SCHOOL DISTRICT,196,3124
MOUNDRIDGE UNIFIED SCHOOL DISTRICT 423,431,6109
MOUNDS SCH DIST 5,592,6051
MOUNDS VIEW IND SCHOOL DIST 621,11957,194313
MOUNT ABRAHAM UNIFIED SCHOOL DISTRICT,1479,33437
MOUNT ADAMS SCHOOL DISTRICT 209,918,17675
MOUNT ARLINGTON BORO SCH DIST,362,13476
MOUNT AYR COMMUNITY SCHOOL DISTRICT,642,10699
MOUNT BAKER SCHOOL DISTRICT 507,1910,31747
MOUNT DESERT COMMUNITY SCHOOL DISTRICT 7 (907),547,11466
MOUNT DESERT ELEMENTARY SCHOOL,169,4575
MOUNT EDGECUMBE HIGH SCHOOL AGENCY,434,13852
MOUNT GILEAD EX VLG SCHOOL DIST,1139,15773
MOUNT HEALTHY CITY SCHOOL DIST,2962,51400
MOUNT HOLLY TWP SCH DIST,1090,24941
MOUNT MARKHAM CENTRAL SCHOOL DISTRICT,1152,27007
MOUNT MORRIS CENTRAL SCH,636,15889
MOUNT PLEASANT ELEM SCH DIST,2229,61593
MOUNT SINAI UNION FREE SCHOOL DIST,2276,61044
MOUNT VERNON CITY SCH DIST,3723,53979
MOUNTAIN BROOK SCHOOLS,4346,66748
MOUNTAIN ELEM SCH DIST,143,1987
MOUNTAIN EMPIRE UNIF SCH DIST,1699,29171
MOUNTAIN GROVE SCH DIST R-3,1484,14772
MOUNTAIN HOME SCH DIST 9,3908,39352
MOUNTAIN HOME SCHOOL DISTRICT 193,4006,32927
MOUNTAIN HOUSE ELEM SCH,17,861
MOUNTAIN INSTITUTE JOINT TECHNOLOGY EDUCATION DISTRICT,39,3053
MOUNTAIN IRON-BUHL SCH DIST 712,536,9057
MOUNTAIN LAKE IND SCHOOL DIST 173,516,7617
MOUNTAIN LAKES BORO SCH DIST,1404,44952
MOUNTAIN PINE SCH DIST 46,591,6861
MOUNTAIN UNION ELEM SCH DIST,73,1398
MOUNTAIN VALLEY SCHOOL DIST RE-1,137,20054
MOUNTAIN VALLEY UNIF SCH DIST,254,24812
MOUNTAIN VIEW ELEM DIST 64,18,197
MOUNTAIN VIEW ELEM SCHOOL DIST,6346,113426
MOUNTAIN VIEW SCH DIST,1684,17189
MOUNTAIN VIEW SCH DIST,919,21071
MOUNTAIN VIEW SCHOOL DISTRICT 244,1231,14719
MOUNTAIN VIEW WHISMAN SCHOOL DISTRICT,5110,101425
MOUNTAIN VIEW-BIRCH TREE SCH DIST R-3,1267,12478
MOUNTAINAIR SCHOOL DISTRICT,220,4308
MOUNTAINBURG SCH DIST 16,655,7309
MOUNTAINSIDE BORO SCHOOL DIST,258,21215
MOYERS SCHOOL DISTRICT 22,174,2252
MT AIRY CITY SCHOOLS,1659,20528
MT ANGEL SCH DIST 91,734,11015
MT ANTHONY UNION HIGH SCH DIST 14,1464,24385
MT BALDY ELEM SCH DIST,94,1527
MT CALM IND SCH DIST 910,197,3116
MT CARMEL AREA SCHOOL DIST,1471,21359
MT CLEMENS COMM SCH DIST,1041,21008
MT DIABLO UNIFIED SCHOOL DISTRICT,31013,479950
MT ENTERPRISE IND SCH DIST 907,414,4814
MT EPHRAIM BORO SCH DIST,413,12501
MT GREYLOCK REG SCH DIST,1196,56603
MT HOREB AREA SCHOOL DISTRICT,2522,33733
MT IDA SCH DIST 20,455,5707
MT LAUREL TWP SCH DIST,4214,87031
MT LEBANON SCH DIST,5521,101271
MT MANSFIELD MODIFIED UNION SCH DIST #401A,1009,14091
MT MANSFIELD MODIFIED UNION SCH DIST #401B,1530,26563
MT MORRIS CONSOLIDATED SCHOOLS,1827,23546
MT OLIVE COMMUNITY UNIT SCHOOL DISTRICT 5,452,7067
MT OLIVE TWP SCH DIST,4643,105714
MT PLEASANT AREA SCH DIST,2005,35678
MT PLEASANT CENTRAL SCH DIST,1919,63609
MT PLEASANT CITY SCH DIST,3469,48775
MT PLEASANT COMMUNITY SCHOOL DISTRICT,2011,27050
MT PLEASANT IND SCH DIST 902,5394,65282
MT PLEASANT SCH DIST 4,248,4304
MT PLEASANT SCHOOL DISTRICT 29-93,66,1144
MT PLEASANT TOWNSHIP COMMUNITY SCHOOL CORPORATION,2645,28564
MT PROSPECT SCHOOL DISTRICT 57,2326,39424
MT PULASKI COMMUNITY UNIT SCHOOL DISTRICT 23,514,9896
MT SHASTA UNION SCH DIST,558,6925
MT UNION AREA SCH DIST,1322,22937
MT VERNON CITY SCH DIST,8036,269984
MT VERNON COMMUNITY SCHOOL CORPORATION,4226,57783
MT VERNON COMMUNITY SCHOOL DISTRICT,1427,18977
MT VERNON IND SCH DISTRICT 901,1621,18859
MT VERNON METROPOLITAN SCHOOL DISTRICT,1993,32909
MT VERNON SCH DIST R-5,1483,14682
MT VERNON SCHOOL DISTRICT 17-3,229,3225
MT VERNON SCHOOL DISTRICT 320,6903,127645
MT VERNON SCHOOL DISTRICT 80,1743,27891
MT VERNON TOWNSHIP HIGH SCHOOL DISTRICT 201,1161,19398
MT VERNON/ENOLA SCHOOL DIST,526,5619
MT VIEW ELEMENTARY SCH DIST,2532,37782
MT VIEW-GOTEBO SCH DIST I-3,246,3900
MT VW-LOS ALTOS UNI HIGH SCHOOL DIST,4394,136257
MT ZION COMMUNITY UNIT SCHOOL DISTRICT 3,2449,30916
MUENSTER IND SCH DIST,514,7976
MUHLENBERG CO SCH DIST,4651,60164
MUHLENBERG SCHOOL DISTRICT,3956,63866
MUKILTEO SCHOOL DISTRICT 6,15931,276799
MUKWONAGO SCHOOL DISTRICT,5040,63188
MULBERRY ELEM SCH DIST,73,1018
MULBERRY GROVE COMMUNITY UNIT SCHOOL DISTRICT 1,419,5336
MULBERRY SCH DIST 101,449,5258
MULDROW SCH DIST 3,1400,12476
MULESHOE IND SCH DIST 901,1417,19193
MULHALI-ORLANDO SCH DIST 3,239,3265
MULLAN SCHOOL DISTRICT 392,98,2625
MULLEN CO SCH DIST 1,159,4055
MULLICA TWP SCH DIST,702,13800
MULLIN IND SCH DIST 902,340,5844
MULTNOMAH COUNTY EDUCATION SERVICE DISTRICT,46,71105
MULVANE UNIFIED SCHOOL DISTRICT 263,1890,21200
MUMFORD IND SCH DIST 906,612,8385
MUNCIE COMMUNITY SCHOOLS,5264,91464
MUNCY SCHOOL DIST,1031,19039
MUNDAY IND SCH DIST 903,392,6575
MUNDELEIN CONSOLIDATED HIGH SCHOOL DISTRICT 120,2028,49526
MUNDELEIN SCHOOL DISTRICT 75,1756,30828
MUNICH PUBLIC SCHOOL DIST 19,96,2627
MUNISING PUBLIC SCHOOLS,657,7847
MUNSTER SCHOOL TOWN,4133,58232
MUPU SCHOOL DISTRICT,166,1860
MURCHISON IND SCH DIST 908,180,2191
MURFREESBORO CITY SCH DIST,8939,95950
MUROC UNIF SCH DIST,1793,44680
MURPHY SCHOOL DISTRICT 21,1669,18323
MURPHYSBORO COMMUNITY UNIT SCHOOL DISTRICT 186,2005,32835
MURRAY CITY SCH DIST,6388,64171
MURRAY CO SCH DIST,7266,73772
MURRAY COMMUNITY SCHOOL DISTRICT,300,4010
MURRAY COUNTY SCHOOL DISTRICT 2169,747,10061
MURRAY INDEP SCH DIST,1736,23969
MURRIETA VALLEY UNIF SCH DIST,23251,301221
MURTAUGH JOINT SCHOOL DISTRICT 418,374,4234
MUSCATINE COMMUNITY SCHOOL DISTRICT,5001,67629
MUSCLE SHOALS CITY SCHOOL DISTRICT,2812,32380
MUSCOGEE CO SCH DIST,31859,376559
MUSKEGON PUB SCH DIST,3589,53412
MUSKEGO-NORWAY SCHOOL DISTRICT,4850,67071
MUSKOGEE SCH DIST 20,5691,58290
MUSTANG SCH DIST 69,11902,107888
MYRTLE POINT SCH DIST 41,517,8924
NACHES VALLEY JOINT SCHOOL DISTRICT 3,1275,19390
NACO SCHOOL DISTRICT 23,306,3585
NACOGDOCHES IND SCH DIST 904,6249,69399
NADABURG SCHOOL DISTRICT 81,809,10744
NAHANT TOWN SCH,151,5226
NAMPA SCHOOL DISTRICT 131,15791,136778
NANTUCKET TOWN SCHS,1670,47484
NANUET UF SCH DIST,2242,73015
NAPA CO SPL SCHS OPER BY CO SUPT,103,53075
NAPA VALLEY UNIFIED SCHOOL DIST,17580,251814
NAPAVINE SCHOOL DISTRICT 14,823,11286
NAPERVILLE COMMUNITY UNIT DISTRICT 203,16435,347108
NAPLES CENTRAL SCHOOL DISTRICT,686,20894
NAPOLEON AREA CITY SCHOOL DIST,1919,27308
NAPOLEON COMMUNITY SCHOOLS,1314,15071
NAPOLEON SCH DIST 2,242,3563
NARRAGANSETT REG SCH DIST,1426,26031
NARRAGANSETT SCHOOLS SYSTEM,1290,32864
NASELLE GRAYS RIVER VALLEY SCHOOL DISTRICT 155,413,7327
NASHOBA REGIONAL SCHOOL DISTRICT,3228,66317
NASHOBA SCH DIST 15,51,729
NASHOBA VALLEY TECH,684,17362
NASH-ROCKY MOUNT PUBLIC SCHOOLS,15061,149393
NASHUA CITY SCHOOL DISTRICT,11229,175792
NASHUA K-12 SCHOOL DISTRICT,100,1780
NASHUA-PLAINFIELD COMMUNITY SCHOOL DISTRICT,622,8453
NASHVILLE COMMUNITY CONSOLIDATED SCHOOL DISTRICT 49,571,6733
NASHVILLE COMMUNITY HIGH SCHOOL DISTRICT 99,408,7289
NASHVILLE SCH DIST,1921,20168
NASHWAUK-KEEWATIN IND SCH DIST 319,610,9558
NASSAU COUNTY SCHOOL DISTRICT,12118,132730
NATALIA IND SCH DIST 903,1080,13235
NATCHEZ-ADAMS SCHOOL DISTRICT,3193,39593
NATCHITOCHES PARISH SCHOOL DISTRICT,5933,70871
NATICK TOWN SCH,5540,112993
NATIONAL ELEM SCH DIST,5536,87927
NATIONAL PARK BORO SCHOOL DIST,274,5641
NATIONAL TRAIL LOCAL SCHOOL DISTRICT,1021,14601
NATOMAS UNIFIED SCHOOL DIST,13457,202005
NATRONA CO SCH DIST 1,13382,221893
NAUGATUCK BOROUGH SCHOOLS,4306,87371
NAUGHTON SCH DIST 25,9,261
NAUSET REGIONAL SCH DIST,1508,38622
NAUVOO COLUSA COMMUNITY UNIT SCHOOL DISTRICT 325,242,4852
NAVAJO COUNTY ACCOMMODATION DISTRICT #99,27,441
NAVAJO SCH DIST 1,535,4736
NAVARRO INDEP SCH DIST 903,1943,23034
NAVASOTA IND SCH DISTRICT 904,3043,38048
NAYLOR SCH DIST R 2,413,3936
NAZARETH AREA SCH DIST,4758,92498
NAZARETH IND SCH DIST 903,253,3089
NEAH KAH NIE SCH DIST 56,797,19298
NEBO SCH DIST,33834,317816
NEBRASKA CITY SCH DIST 111,1458,19751
NEBRASKA UNIFIED DISTRICT 1,438,9547
NECEDAH JOINT SCHOOL DISTRICT,699,11989
NECHES IND SCH DIST 906,366,4682
NEDERLAND IND SCH DIST 905,5207,56557
NEDROSE SCH DIST 4,592,8827
NEEDHAM PUBLIC SCHS,5721,145779
NEEDLES UNIF SCH DIST,993,17903
NEEDVILLE IND SCH DISTRICT 906,3262,39093
NEELYVILLE SCH DIST R-4,642,6342
NEENAH SCHOOL DISTRICT,6714,83751
NEGAUNEE PUBLIC SCHOOLS,1583,18676
NEILLSVILLE SCHOOL DISTRICT,927,12968
NEK CHOICE SCHOOL DISTRICT,151,5574
NEKOOSA JOINT SCHOOL DISTRICT 1,1183,18714
NELIGH OAKDALE SCH DIST 9,380,6302
NELL HOLCOMB SCH DIST R4,265,3995
NELSON CO SCH DIST,4630,57506
NELSON CO SCHS,1807,27600
NELSON TOWN SCH DIST,74,1825
NELSONVILLE-YORK CITY SCH DIST,1207,16575
NEMAHA CENTRAL SCHOOL DISTRICT 115,650,8850
NEMO VISTA SCH DIST 8,501,5721
NENANA CITY SCHOOL DISTRICT,1312,11367
NEODESHA UNIFIED SCHOOL DISTRICT 461,729,9810
NEOGA COMMUNITY UNIT SCHOOL DISTRICT 3,597,8367
NEOSHO SCH DIST R-5,4654,48574
NEPTUNE CITY BORO SCHOOL DIST,272,10745
NEPTUNE TWP BOARD OF EDUC,4063,99568
NESHAMINY SCH DIST,8881,184553
NESHANNOCK TWP SCH DIST,1194,20224
NESHOBA COUNTY SCHOOL DISTRICT,3240,28946
NESPELEM SCHOOL DISTRICT 14,160,5680
NESS CITY UNIFIED SCHOOL DISTRICT 303,307,4133
NESSON SCH DIST 2,357,7211
NESTUCCA VALLEY SCHOOL DIST 101,486,13207
NETCONG BORO SCH DIST,289,6568
NETT LAKE IND SCHOOL DIST 707,57,2822
NETTLE CR COMMUNITY CONSOLIDATED SCHOOL DISTRICT 24C,91,1936
NETTLE CREEK CONSOLIDATED SCHOOL CORPORATION,1126,12251
NETTLETON SCH DIST,3562,41493
NETTLETON SCHOOL DISTRICT,1315,11411
NEVADA CITY ELEM SCH DIST,801,11900
NEVADA CO SPL SCHS OPER BY CO SUPT,1444,39690
NEVADA COMMUNITY SCHOOL DISTRICT,1595,22638
NEVADA JT UNION HIGH SCHOOL DIST,2596,48468
NEVADA SCH DIST R 5,2410,24737
NEVADA SCHOOL DIST 1,400,4431
NEVIS SCH DIST 308,626,7745
NEW ALBANY PUBLIC SCH DIST,2124,22020
NEW ALBANY-FLOYD COUNTY CONSOLIDATED SCHOOLS,11637,153585
NEW ATHENS COMMUNITY UNIT SCHOOL DISTRICT 60,509,6894
NEW AUBURN SCHOOL DISTRICT,316,5110
NEW BEDFORD CITY SCH,12845,237234
NEW BERLIN COMMUNITY UNIT SCHOOL DISTRICT 16,939,13880
NEW BERLIN SCHOOL DISTRICT 14,4348,65747
NEW BOSTON IND SCH DISTRICT 905,1275,17113
NEW BOSTON LOCAL SCH DIST,409,7224
NEW BOSTON TOWN SCH DIST,557,14953
NEW BRAUNFELS IND SCH DIST 901,9127,100524
NEW BREMEN LOCAL SCH DIST,754,14317
NEW BRIGHTON AREA SCHOOL DIST,1360,26622
NEW BRITAIN CITY SCHOOLS,10118,222767
NEW BRUNSWICK CITY SCHOOL DISTRICT,10422,237814
NEW BUFFALO AREA SCHOOLS,545,17405
NEW CANAAN TOWN SCHOOLS,4161,116976
NEW CANEY IND SCH 908,15381,199907
NEW CASTLE AREA SCH DIST,3141,56713
NEW CASTLE COMMUNITY SCHOOL CORPORATION,3108,43138
NEW CASTLE COUNTY VOCATIONAL-TECHNICAL SCHOOL DISTRICT,4637,97228
NEW CASTLE TOWN SCH DIST,45,2268
NEW DEAL IND SCH DIST 902,786,9842
NEW DIANA IND SCH DIST 906,1118,11468
NEW DURHAM TOWNSHIP METROPOLITAN SCHOOL DISTRICT,891,10501
NEW ENGLAND SCH DIST 9,295,5108
NEW FAIRFIELD PUBLIC SCHOOLS,2237,51373
NEW FRANKLIN SCH DIST R-1,473,4354
NEW GLARUS SCHOOL DISTRICT 1,989,14515
NEW HAMPTON COMMUNITY SCHOOL DISTRICT,1054,15115
NEW HANOVER COUNTY SCH,25952,294303
NEW HANOVER TWP SCH DIST,177,5835
NEW HARTFORD CTL SCH DIST,2586,53697
NEW HARTFORD PUBLIC SCHOOLS,446,9720
NEW HAVEN CITY SCHOOLS,21075,467995
NEW HAVEN COMM SCH DIST,1260,18186
NEW HAVEN SCH DIST,518,5978
NEW HAVEN UNIFIED SCHOOL DIST,11281,164667
NEW HOLLAND-MIDDLETOWN ELEMENTARY SCHOOL DISTRICT 88,97,2075
NEW HOLSTEIN SCHOOL DISTRICT,1063,16048
NEW HOME IND SCH DIST 905,479,5564
NEW HOPE COMMUNITY CONSOLIDATED SCHOOL DISTRICT 6,172,2199
NEW HOPE ELEM SCH DIST,201,2978
NEW HOPE SOLEBURY SCH DIST,1374,42449
NEW HYDE PRK-GARDEN CTY PRK UN FR SCH DIST,1761,40631
NEW JERUSALEM ELEM SCH DIST,1768,24269
NEW KENSINGTON ARNOLD SCH DIST,1873,37572
NEW KENT CO SCHS,3306,34641
NEW KNOXVILLE LOCAL SCH DIST,395,6189
NEW LEBANON CTL SCH DIST,436,12953
NEW LEBANON SCH DIST,1097,15640
NEW LENOX ELEMENTARY SCHOOL DISTRICT 122,5252,83934
NEW LEXINGTON CITY SCH DIST,1670,25616
NEW LIMA SCH DIST 6,297,2930
NEW LISBON CITY JOINT SCHOOL DISTRICT,660,9648
NEW LONDON CITY SCHOOLS,3512,85655
NEW LONDON COMMUNITY SCHOOL DISTRICT,531,7544
NEW LONDON LOCAL SCH DIST,875,11396
NEW LONDON SCHOOL DISTRICT,2284,31645
NEW LONDON-SPICER SCH DIST 345,1556,21070
NEW LOTHROP AREA SCH DIST,916,9911
NEW MADRID SCH DIST R-1,1378,19022
NEW MIAMI LOCAL SCH DIST,665,10361
NEW MILFORD BORO SCH DIST,2026,45975
NEW MILFORD TOWN SCHOOLS,3977,80071
NEW PALTZ CENTRAL SCHOOL DISTRICT,2138,67551
NEW PHILADELPHIA CITY SCH DIST,3087,35429
NEW PLYMOUTH SCHOOL DISTRICT 372,1000,8416
NEW PRAGUE SCH DIST 721,4276,59413
NEW PRAIRIE UNITED SCHOOL CORPORATION,2972,38408
NEW PROVIDENCE BORO SCH DIST,2420,49088
NEW RICHMOND EX VILLAGE SCH DIST,2326,28808
NEW RICHMOND SCHOOL DISTRICT,3441,51471
NEW RIEGEL LOCAL SCH DIST,431,5887
NEW ROCHELLE CITY SCH,10727,281708
NEW ROCKFORD SHEYENNE 2,330,4825
NEW SALEM-ALMONT SCHOOL DISTRICT 49,342,5558
NEW SALEM-WENDELL REG SCH DIST,149,3276
NEW SHOREHAM SCHOOL DEPARTMENT,133,5649
NEW SIMPSON HILL CONSOLIDATED SCHOOL DISTRICT 32,255,3183
NEW SUFFOLK COMMON SCH DIST,15,1046
NEW SUMMERFIELD IND SCHOOL DIST 908,544,8498
NEW TOWN SCH DIST 1,1024,34195
NEW TRIER TOWNSHIP HIGH SCHOOL DISTRICT 203,3987,151386
NEW ULM SCH DIST 88,2091,31982
NEW UNDERWOOD SCHOOL DISTRICT 51-3,236,2685
NEW WAVERLY IND SCH DIST 901,1030,13098
NEW YORK CITY SCHOOL DISTRICT,960484,33788513
NEW YORK MILLS IND SCHOOL DIST 553,744,9215
NEW YORK MILLS UNION FREE SCH DIST,574,13892
NEW YORK SCHOOL DISTRICT R IV,20,705
NEWARK CENTRAL SCHOOL DISTRICT,2228,52271
NEWARK CITY SCH DIST,6484,92653
NEWARK CITY SCHOOL SYSTEM,40448,1242393
NEWARK COMMUNITY CONSOLIDATED SCHOOL DISTRICT 66,260,3119
NEWARK COMMUNITY HIGH SCHOOL DISTRICT 18,161,3924
NEWARK UNIF SCH DIST,5758,89198
NEWARK VALLEY CENTRAL SCHOOL DISTRICT,1126,27838
NEWAYGO PUBLIC SCHOOL DISTRICT,1561,19406
NEWBERG SCH DIST 29 J,5007,64842
NEWBERRY COUNTY SCHOOL DISTRICT,5997,83632
NEWBURG SCH DIST R 2,429,4524
NEWBURG UNITED SCH DIST 54,89,2601
NEWBURGH CITY SCH DIST,11441,305083
NEWBURY LOCAL SCH DIST,355,10061
NEWBURY TOWN SCH DIST,144,2101
NEWBURYPORT CITY SCH,2232,49613
NEWCASTLE ELEM SCH DIST,461,17041
NEWCASTLE IND SCH DIST 902,206,3447
NEWCASTLE SCH DIST 1,2231,22048
NEWCOMB CENTRAL SCH DIST,81,5693
NEWCOMERSTOWN EX VILL SCHOOL DIST,984,16889
NEWELL SCHOOL DISTRICT 9-2,304,4204
NEWELL-FONDA COMMUNITY SCHOOL DISTRICT,495,7650
NEWFANE CENTRAL SCH DIST,1488,34039
NEWFIELD CENTRAL SCHOOL DISTRICT,816,19816
NEWFIELDS TOWN SCH DIST,104,2572
NEWFOUND AREA SCHOOL DIST,1185,22633
NEWHALL SCHOOL DISTRICT,6539,79758
NEWINGTON PUBLIC SCHOOLS,4031,88282
NEWINGTON TOWN SCH DIST,53,2255
NEWKIRK SCH DIST 29,785,10952
