FID,AID,Year,Julianday,Hour,Minute,Activity,Temperatur,Latitude,Longitude,HDOP,NumSats,FixTime,2D_3D,POINT_X,POINT_Y
87,31351,2013,147,15,0,0,30,59.307330000000000,-122.207030000000000,2.700000000000000,5,22,3,545150.633134000000000,6574542.883879999600000
88,31351,2013,147,15,30,0,31,59.307139999999997,-122.206930000000000,2.100000000000000,5,22,3,545156.578661000010000,6574521.794999999900000
89,31351,2013,147,16,0,11,27,59.304760000000002,-122.208690000000000,2.100000000000000,5,22,3,545059.516698000020000,6574255.588650000300000
90,31351,2013,147,16,30,31,25,59.303519999999999,-122.213840000000000,2.300000000000000,4,27,3,544767.898594000030000,6574114.042170000300000
91,31351,2013,147,17,0,46,19,59.303559999999997,-122.213759999999990,2.300000000000000,4,47,3,544772.401499000030000,6574118.549960000400000
92,31351,2013,147,17,30,31,17,59.300840000000001,-122.216900000000000,2.700000000000000,4,22,3,544597.159411999980000,6573813.570009999900000
93,31351,2013,147,18,0,5,19,59.299939999999999,-122.217270000000000,1.700000000000000,5,52,3,544577.265996000030000,6573713.106719999600000
94,31351,2013,147,18,31,7,19,59.298200000000001,-122.214890000000000,2.200000000000000,4,51,3,544715.088308000010000,6573520.951100000200000
95,31351,2013,147,19,0,0,23,59.297960000000003,-122.215200000000000,2.500000000000000,5,47,3,544697.747884999960000,6573494.018930000300000
96,31351,2013,147,19,30,2,25,59.298099999999998,-122.214890000000000,2.400000000000000,5,22,3,544715.219510999970000,6573509.816019999800000
97,31351,2013,147,20,0,16,21,59.296270000000000,-122.215909999999990,2.600000000000000,5,33,3,544659.525952999950000,6573305.360179999800000
98,31351,2013,147,20,32,36,18,59.289769999999997,-122.226630000000000,2.300000000000000,4,120,2,544057.363448000050000,6572574.444550000100000
99,31351,2013,147,21,0,48,16,59.295630000000003,-122.231950000000000,2.700000000000000,4,22,3,543746.781258999950000,6573223.455350000400000
100,31351,2013,147,21,30,11,16,59.296709999999997,-122.239279999999990,3.400000000000000,4,22,3,543327.916157000000000,6573338.925169999700000
101,31351,2013,147,22,2,50,15,59.298200000000001,-122.247660000000000,1.600000000000000,4,120,2,542848.760924999950000,6573499.419409999600000
102,31351,2013,147,22,30,59,12,59.301670000000001,-122.261010000000000,3.600000000000000,4,43,3,542084.160202000060000,6573877.299940000300000
103,31351,2013,147,23,0,1,17,59.303100000000001,-122.264520000000000,1.300000000000000,4,42,3,541882.519561999940000,6574034.320799999900000
104,31351,2013,148,0,0,2,19,59.303019999999997,-122.264660000000010,1.500000000000000,4,35,3,541874.645668999990000,6574025.324699999800000
105,31351,2013,148,1,0,0,22,59.303080000000001,-122.264590000000000,1.400000000000000,6,37,3,541878.558040000030000,6574032.049780000000000
106,31351,2013,148,1,30,0,22,59.303130000000003,-122.264660000000010,1.500000000000000,7,22,3,541874.510488000000000,6574037.573350000200000
107,31351,2013,148,2,0,2,20,59.303120000000000,-122.264560000000000,2.100000000000000,5,22,3,541880.217207000010000,6574036.522690000000000
108,31351,2013,148,2,30,1,20,59.303060000000002,-122.264709999999990,1.400000000000000,6,48,3,541871.749291999960000,6574029.747329999700000
109,31351,2013,148,3,0,0,23,59.302959999999999,-122.264820000000000,3.600000000000000,5,27,3,541865.608272999990000,6574018.543069999700000
110,31351,2013,148,4,0,3,24,59.303019999999997,-122.264750000000010,2.400000000000000,5,22,3,541869.520666999980000,6574025.268140000300000
111,31351,2013,148,4,30,0,25,59.303069999999998,-122.264610000000000,5.000000000000000,5,27,3,541877.431441999970000,6574030.923689999600000
112,31351,2013,148,5,0,0,24,59.303049999999999,-122.264610000000000,1.600000000000000,7,52,3,541877.456022000060000,6574028.696659999900000
113,31351,2013,148,6,0,9,20,59.302990000000001,-122.264709999999990,2.300000000000000,5,22,3,541871.835311000000000,6574021.952730000000000
114,31351,2013,148,6,30,65,15,59.306930000000001,-122.272390000000000,2.100000000000000,4,37,3,541429.710090999960000,6574455.876749999800000
115,31351,2013,148,7,0,35,16,59.311729999999997,-122.274460000000000,2.900000000000000,5,40,3,541306.027886000000000,6574989.079289999800000
116,31351,2013,148,7,30,33,16,59.315750000000001,-122.274109999999990,2.400000000000000,5,27,3,541321.076068999940000,6575436.930200000300000
117,31351,2013,148,8,0,26,17,59.319270000000003,-122.276320000000000,3.200000000000000,4,34,3,541191.017830000030000,6575827.519899999700000
118,31351,2013,148,8,31,26,18,59.323189999999997,-122.276650000000000,1.700000000000000,5,98,3,541167.495384000010000,6576263.815209999700000
